id,domain,requirement,classification,priority,preliminary_static_disposition,inventory_signal,required_next_verification,source_requirement_ids,final_audit_status,auditor_notes
ADM-002,Audit and moderation,"Audit consequential privileged successes, sensitive reads, significant failures, authorization denials, conflicts, duplicate/replay outcomes, provider failures, and security/access configuration changes.",MUST,P0,STATIC EVIDENCE PRESENT,"Payments and Financial Workflows line 199: MoneyIssue admin queue for refund/credit failures refund failures, missing provider refs, credit restore/release failures open, resolved target user/game/booking/payment/refund/credit/usage resolve, retry credit money_issue_model.py:22-194; admin_money_issue_service.py:138-390,489-627 CONFIRMED | Payments and Financial Workflows line 122: Account cleanup account deletion service deleting account has saved methods account deletion flow Stripe detach attempts methods detached; failures staged cleanup path records failures account_deletion_service.py:210-238 CONFIRMED",CODE; RUNTIME,AUDIT-003–005,NOT AUDITED,
ADM-003,Audit and moderation,"Use structured minimized audit records with immutable ID, authoritative time, actor, role context, target, action, outcome, stable failure code, request ID, environment/release, and linked domain identifiers. Store selected changes, not unrestricted snapshots.",MUST,P0,STATIC EVIDENCE PRESENT,"Payments and Financial Workflows line 233: Host publish entitlement available, reserved, used, revoked, expired first-free/outcome creation, abandoned attempt release, publish consumption none found admin action/outcome links host_publish_entitlement_model.py:23-62; community_game_publish_service.py:466-546 CONFIRMED | Admin/Moderation/Audit/Notices, Part 1 line 41: POST /admin/actions/{id}/notes append_admin_action_note_route audit note note/idempotency AdminActionRead active admin target action note policy optional key append_admin_action_note none admin_action_routes.py:103 CONFIRMED",SCHEMA; CODE; RUNTIME,"AUDIT-006–009, 014",NOT AUDITED,
ADM-004,Audit and moderation,Make the normal audit-writing path append-only and tightly permissioned. Corrections must be new linked events. Direct update/delete must not be available to ordinary application or administrator roles.,MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Database Foundation and Migrations, Part 1 line 184: money_issue_events money issues issue workflow history previous/new status/type/action actor/admin/source money issue CASCADE no update/delete route found in inspected search money_issue_event_model.py:15-88 CONFIRMED | Admin/Moderation/Audit/Notices, Part 1 line 93: Deletion/update of audit records none found in routes/services N/A N/A N/A N/A no delete/update route found route inventory NOT FOUND IN SUBSYSTEM",SCHEMA; DB PRIVILEGE; RUNTIME,AUDIT-010–013,NOT AUDITED,
ADM-005,Audit and moderation,Define transaction and failure behavior for audit writes. A privileged mutation must not silently succeed without its required audit record; external copies or forwarding must tolerate retry and duplication.,MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Admin/Moderation/Audit/Notices, Part 1 line 175: admin_actions audit record admin_user_id, action_type, targets, reason, metadata, idempotency admin FK RESTRICT; target-required/action-type checks; many idempotency indexes admin/action/target/history indexes none created_at admin_action_model.py:15, 84, 407 CONFIRMED | Admin/Moderation/Audit/Notices, Part 1 line 107: Failure behavior scanner/surfacing exceptions content/chat safe wrappers no propagated error after rollback/log no persisted finding on caught failure app flow continues content_moderation_finding_service.py:316, moderation_signal_service.py:262 CONFIRMED",CODE; SCHEMA; FAILURE TEST,AUDIT-011–013; ENF-005,NOT AUDITED,
ADM-006,Audit and moderation,"Redact secrets and unnecessary personal data before emission at every logging boundary. Encode untrusted fields to prevent newline, terminal, HTML, JSON, and spreadsheet injection.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Payments and Financial Workflows line 173: Refund update PATCH /refunds/{id} non-terminal refund RAA none Refund, RefundEvent, AdminAction terminal edit block; amount hold validation local refund updated refund_service.py:636-799 CONFIRMED | Database Foundation and Migrations, Part 1 line 73: JSON/arrays/binary Non-JSONB JSON, ARRAY, binary fields Not found in inspected model/migration search. static search NOT FOUND IN SUBSYSTEM",CODE; CONFIG; RUNTIME,AUDIT-015–016; SENS-006–007; API-033,NOT AUDITED,
ADM-007,Audit and moderation,"Restrict audit search, sensitive reads, unmasking, and exports by task and permission. Log access to private messages, payment context, moderation evidence, audit records, and exports.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Admin/Moderation/Audit/Notices, Part 1 line 76: Sensitive moderation evidence review detail active admin route dependency detail loads current/historical findings none evidence serialized in admin schema admin_review_service.py:723, admin_review_schema.py:39 CONFIRMED | Admin/Moderation/Audit/Notices, Part 1 line 93: Deletion/update of audit records none found in routes/services N/A N/A N/A N/A no delete/update route found route inventory NOT FOUND IN SUBSYSTEM",CODE; UI; RUNTIME; ACCESS REVIEW,AUDIT-017–020; SENS-001–011,NOT AUDITED,
ADM-008,Audit and moderation,"Define audit review, alerting, retention, archive, deletion/anonymization, legal-hold, and export handling by data category. No universal retention period is assumed.",MUST DECIDE,P1,PROCESS / EXTERNAL EVIDENCE REQUIRED,"Phase 1A general repository inventory line 230: R2 bucket permissions, lifecycle, retention, public access NOT REPOSITORY-VERIFIABLE | Phase 1A general repository inventory line 227: Production database backups, HA, restore tests, retention NOT REPOSITORY-VERIFIABLE",PROCESS; CONFIG; PROVIDER,AUDIT-018–020; DATA-003–004,NOT AUDITED,
ADM-009,Audit and moderation,"Maintain a versioned moderation taxonomy and record the rule, scanner or model identity, version, configuration, language/context limits, and execution time for every finding. Machine learning is not required.",MUST,P1,STATIC EVIDENCE PRESENT,"Admin/Moderation/Audit/Notices, Part 1 line 100: Scanner version scanner constant all scans SCANNER_VERSION scanner_version stored version in metadata/model trace evidence content_moderation_scanner_service.py:10, admin_content_moderation_finding_model.py:120 CONFIRMED | Admin/Moderation/Audit/Notices, Part 1 line 99: Text scanner service call configured text fields scan_moderation_fields finding dataclasses rule grouping by field/type finding list content_moderation_scanner_service.py:10, 153, 353 CONFIRMED",CODE; SCHEMA; PROCESS,"MOD-001–003, 012",NOT AUDITED,
ADM-010,Audit and moderation,"Bind findings to a specific target field and content version/hash. Preserve minimal evidence and offsets safely, deduplicate repeated scans, and mark earlier findings historical or stale after edits.",MUST,P0,STATIC EVIDENCE PRESENT,"Admin/Moderation/Audit/Notices, Part 1 line 112: Content case create/reuse content findings exist actionable community game/sub post target service internal admin_review_cases, findings, events open content case none by itself content_moderation_finding_service.py:53, 244 CONFIRMED | Admin/Moderation/Audit/Notices, Part 1 line 86: Action policy all creates AdminActionPolicy required/allowed targets, metadata profile, reason requirement target field rules policy-specific validation before store admin_action_policy.py:57 CONFIRMED",CODE; SCHEMA; RUNTIME,MOD-004–010,NOT AUDITED,
ADM-011,Audit and moderation,"Represent scanner timeout, outage, partial result, queue failure, and evidence-write failure as explicit non-clean states. Retry idempotently and expose exhausted work and backlog to operators.",MUST,P0,STATIC GAP INDICATED,"Admin/Moderation/Audit/Notices, Part 1: moderation failures are caught/logged, but no durable queue, explicit non-clean failure state, or worker-based retry path was found.",CODE; JOB; RUNTIME; MONITORING,MOD-011; JOB-001–028; OBS-007,NOT AUDITED,
ADM-012,Audit and moderation,"Use explicit server-enforced review-case state transitions, links, assignments, outcomes, notes, and append-only event history. Case creation, merging, automatic resolution, and concurrent review must be idempotent and conflict-safe.",MUST,P0,STATIC EVIDENCE PRESENT,"Admin/Moderation/Audit/Notices, Part 1 line 187: Review case open, closed create/open; close route; automatic lifecycle close admin_review_case_events admin_review_case_model.py:18, admin_review_service.py:1538 CONFIRMED | Database Foundation and Migrations, Part 1 line 125: One-of-many child ref review-case event child refs Cannot reference both signal and finding simultaneously. admin_review_case_event_model.py:24-27 Full migration detail Part 2. No conflict reported in Part 1. CONFIRMED",CODE; SCHEMA; RUNTIME,CASE-001–009,NOT AUDITED,
ADM-013,Audit and moderation,"Apply enforcement through action-specific permissions, required target/action/reason/current-state inputs, scoped idempotency, preconditions, explicit external-side-effect states, and separate reversal/restoration records.",MUST,P0,STATIC EVIDENCE PRESENT,"Admin/Moderation/Audit/Notices, Part 1 line 120: Enforcement link moderation/enforcement action open case found by target caller admin event, action target_review_case_id action linked audit action visible on case admin_review_service.py:1642 CONFIRMED | Admin/Moderation/Audit/Notices, Part 1 line 181: admin_target_notices user-facing enforcement notice recipient, targets, action, type/status, title/body, safe reason target-required; notice type/status checks recipient/target/action/type indexes active/dismissed read/dismissed/created/updated admin_target_notice_model.py:11 CONFIRMED",CODE; SCHEMA; RUNTIME,ENF-001–008,NOT AUDITED,
ADM-014,Audit and moderation,"Generate user-safe enforcement notices according to documented policy. Delayed or suppressed notice requires a structured reason; internal detection, fraud, reporter, or security details must not leak. Appeals remain a product/legal decision.",MUST DECIDE,P1,MIXED / PARTIAL STATIC EVIDENCE,"Admin/Moderation/Audit/Notices, Part 2 line 35: backend/tests/legacy/test_support_flags_api.py and test_admin_community_need_a_sub_api.py Support flags, enforcement notices, chat moderation touchpoints Backend API/service support flag resolution, community review flags, enforcement, notices test_support_flags_api.py:31-191; test_admin_communit... | Admin/Moderation/Audit/Notices, Part 1 line 80: Admin enforcement notices service only caller-dependent caller services require admin target-required DB check no dedupe in generic service creates notice + notification admin_target_notice_service.py:67, 103 CONFIRMED",CODE; PROCESS; RUNTIME,ENF-009–011,NOT AUDITED,
ADM-015,Audit and moderation,"Return minimum-necessary administrative data from the backend. Default to excerpt-first private-message and moderation-evidence views, controlled unmasking, anti-caching, and restricted export. Frontend masking alone is insufficient.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Need a Sub and Messaging, Part 1 line 96: Admin message moderation admin chat message routes admin admin active none none message belongs to post lock message, idempotency, action state chat_moderation_admin_service.py:692-820, 927-984 CONFIRMED | Phase 1A general repository inventory line 206: Data export workflow NOT FOUND IN REPOSITORY No tracked implementation found",CODE; UI; RUNTIME,SENS-001–012,NOT AUDITED,
ADM-016,Audit and moderation,"Model notice campaign, immutable content version, audience definition/snapshot, recipient record, and delivery attempt separately. Creation, recipient delivery, cancellation, correction, retry, and large-audience processing must be idempotent and observable.",MUST,P0,STATIC GAP INDICATED,"Admin/Moderation/Audit/Notices, Part 1 lines 30-32 and 193-199: no notice delivery-attempt/recipient-delivery tables, delivery worker, retry route, queue, or scheduler was found.",CODE; SCHEMA; JOB; RUNTIME,NOTICE-001–010,NOT AUDITED,
DB-001,Database,"Use one safe engine/pool per process model, never reuse inherited live connections after fork, and dispose pools during shutdown.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Platform and Operational Foundation, Part 1 line 209: Alembic online pool engine_from_config(..., poolclass=pool.NullPool) Migration connections use NullPool Online migrations connect and run in transaction Runtime DB/migration failure not statically resolved backend/alembic/env.py:36-48 CONFIRMED | Platform and Operational Foundation, Part 1 line 54: Lifespan/startup/shutdown Search in backend/main.py No lifespan, @app.on_event, startup, or shutdown hook found None Not applicable backend/main.py:1-176; targeted search found no matching symbols NOT FOUND IN SUBSYSTEM",CODE; RUNTIME,"DBCONN-001, 005–006",NOT AUDITED,
DB-002,Database,"Maintain a deployment-wide connection budget including API workers, instances, overflow, background workers, migrations, monitoring, autoscaling, rolling overlap, and operational reserve. Bound pool growth and wait time.",MUST DECIDE,P0,STATIC GAP INDICATED,"Platform and Operational Foundation, Part 1 line 205: create_engine uses defaults; no pool_size, max_overflow, pool_pre_ping, pool_recycle, pool timeout, isolation, or deployment-wide connection budget was found.",CONFIG; RUNTIME; LOAD,DBCONN-002–004; OBS-006,NOT AUDITED,
DB-003,Database,"Use a separate Session or AsyncSession per request, job attempt, webhook attempt, and administrative operation. Never share sessions concurrently or reuse request sessions after completion.",MUST,P0,STATIC EVIDENCE PRESENT,"Database Foundation and Migrations, Part 1 line 30: Request sessions: get_db() yields one session and closes it, with no dependency-level commit/rollback, backend/database.py:42-49. CONFIRMED | Platform and Operational Foundation, Part 1 line 38: Database engine/session are created in backend/database.py:27-31; request sessions are yielded/closed in backend/database.py:42-49. CONFIRMED.",CODE; RUNTIME,DBCONN-006–007,NOT AUDITED,
DB-004,Database,Commit only after a unit of work succeeds; roll back on every failure including failed flush; close sessions deterministically; avoid provider calls and streaming while holding unnecessary transactions.,MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Database Foundation and Migrations, Part 1 line 202: Provider calls can occur between local flush() and commit() in checkout/community publish flows; this is static code evidence only, not a runtime guarantee. CONFIRMED | Database Foundation and Migrations, Part 1 line 200: Routes committing directly backend/routes none found none found none found none found Services own commits static search over backend/routes for commit/rollback/flush/refresh NOT FOUND IN SUBSYSTEM",CODE; FAILURE TEST,DBCONN-008–012; TXN-001–004,NOT AUDITED,
DB-005,Database,"Define explicit transaction boundaries for booking, capacity, waitlists, Need a Sub, payments, refunds, credits, audit, notices, webhooks, and jobs. User-visible success must not precede durable commit.",MUST,P0,STATIC EVIDENCE PRESENT,"Database Foundation and Migrations, Part 1 line 18: Models All 58 current backend/models/*.py source files were listed and statically scanned; representative files were line-inspected, including users, games, bookings, participants, payments, refunds, credits, Need a Sub, platform notices, notifications, venue/images, admin/audit/review/support mo... | Payments and Financial Workflows line 93: POST /admin/official-games/{game_id}/cancel execute_admin_official_game_cancellation Cancellation execute path id, execute body result RAA admin dependency locks game/bookings/payments/refunds/credits preview token; internal refund idempotency execute_official_game_cancellation admin_official_gam...",CODE; SCHEMA; RUNTIME,TXN-001–006,NOT AUDITED,
DB-006,Database,"Coordinate database commits with external side effects using durable operation states, outbox/inbox or equivalent patterns, idempotency, compensation, and reconciliation. Never assume cross-provider atomicity.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Database Foundation and Migrations, Part 1 line 135: refunds/refund_events provider/idempotency partial uniques provider+refund/event IDs; idempotency_key yes not null Provider reconciliation/event idempotency. refund_model.py:110-116, refund_event_model.py:58-70 CONFIRMED | Platform and Operational Foundation, Part 1 line 103: inbox_routes /inbox inbox backend/main.py:159 No backend/routes/inbox_routes.py:23 CONFIRMED",CODE; SCHEMA; FAILURE TEST,TXN-005–008; FIN-001–025; JOB-001–028,NOT AUDITED,
DB-007,Database,"Use database-enforced serialization points for capacity, one-active-record, duplicate webhook, credit/refund, notice delivery, job claim, and concurrent administrative workflows. Prefer constraints, atomic conditional updates, or row/version controls over process-local locks.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Database Foundation and Migrations, Part 2 line 174: CONFIRMED: app services use row locks via with_for_update; no skip_locked usage was found. | Admin/Moderation/Audit/Notices, Part 1 line 193: Platform Notice delivery none none none search NOT FOUND IN SUBSYSTEM",CODE; SCHEMA; CONCURRENCY TEST,TXN-009–015; SCHEMA-001–004,NOT AUDITED,
DB-008,Database,"Choose isolation, row locking, optimistic versioning, NOWAIT/SKIP LOCKED, or serializable transactions by invariant. Handle deadlocks, serialization failures, lock timeouts, and unknown commit outcomes with whole-transaction retry only when safe.",MUST,P0,STATIC EVIDENCE PRESENT,"Games and Participation, Part 1 line 7: Commit b95f62e9f454218c9c8ca1b561de524968811b6f CONFIRMED | Admin/Moderation/Audit/Notices, Part 1 line 204: Moderation finding conflict retry internal content reconciliation findings/review case row locks in service one retry after IntegrityError exception logged/rolled back in safe wrapper no worker content_moderation_finding_service.py:250, 299, 316 CONFIRMED",CODE; CONFIG; CONCURRENCY TEST,TXN-009–015,NOT AUDITED,
DB-009,Database,"Enforce primary keys, foreign keys, unique/partial unique, check, exclusion, non-null, and conditional integrity rules in PostgreSQL whenever application validation alone cannot protect concurrent or direct writes.",MUST,P0,STATIC EVIDENCE PRESENT,"Database Foundation and Migrations, Part 1 line 151: Review/support idempotency_key partial unique indexes by source/flag type Stored nullable idempotency keys. admin_review_signal_model.py:47-53,108-109; support_flag_model.py:90-96,161-162 CONFIRMED | Games and Participation, Part 1 line 238: waitlist_entries / WaitlistEntry Waitlist position and promotion state. Checks waitlist status, party size, position, authorized amount; unique partial active user per game for active and payment_processing; unique partial active waitlist position per game. backend/models/waitlist_entry_model.py:...",SCHEMA; MIGRATION; RUNTIME,SCHEMA-001–005,NOT AUDITED,
DB-010,Database,Use exact monetary types with explicit currency and rounding contracts; use timezone-aware timestamps and explicit UTC/offset serialization; define database versus ORM defaults deliberately.,MUST,P0,STATIC EVIDENCE PRESENT,"Database Foundation and Migrations, Part 1 line 71: DateTime DateTime(timezone=True) sa.DateTime(timezone=True) Common server_default=now() for create/update timestamps; no model onupdate found. game_model.py:437-444; booking_model.py:170-175 CONFIRMED | Database Foundation and Migrations, Part 1 line 198: Platform Notice read state Service session no ORM flush; executes insert commits no explicit rollback in shown function reload selected read Service inbox_service.py:642-715 CONFIRMED",SCHEMA; CODE; RUNTIME,SCHEMA-005–007; FIN-017; API-027,NOT AUDITED,
DB-011,Database,"Choose hard deletion, soft deletion, anonymization, or restricted retention per table. Soft-deleted rows must be consistently filtered and compatible with uniqueness, foreign keys, restoration, and historical records.",MUST DECIDE,P1,STATIC EVIDENCE PRESENT,"Database Foundation and Migrations, Part 1 line 81: Soft-deletable account/content Users, games, venues, game images, venue images Same Nullable deleted_at Often paired with status fields in service logic Query filters exclude deleted rows. user_model.py:152-154, game_model.py:443-445, venue_model.py:92-94, game_image_service.py:166-175 CONFIRMED | Admin/Moderation/Audit/Notices, Part 1 line 81: Shared lookups /admin/lookups/* active admin route dependency deleted rows excluded none query filters/limits admin_lookup_service.py:63, 144 CONFIRMED",SCHEMA; CODE; RUNTIME,"SCHEMA-004, 008; DATA-005–007",NOT AUDITED,
DB-012,Database,"Base indexes on real query patterns, ordering, cardinality, and plans. Review foreign-key indexes, partial/composite/expression indexes, N+1 loading, statistics, autovacuum, redundant indexes, and write cost.",MUST,P1,STATIC EVIDENCE PRESENT,"Database Foundation and Migrations, Part 1 line 75: Provider IDs String(255) sa.String(length=255) Nullable provider IDs with indexes/partial uniques. payment_model.py:120-123, indexes 84-97 CONFIRMED | Database Foundation and Migrations, Part 1 line 129: users unique contact/provider IDs; trgm/expression indexes auth/email/phone/stripe; email/name GIN trgm; lower(email) mixed many exclude deleted_at Identity uniqueness/search/admin listing. user_model.py:48-113; migration 0003:39-52 CONFIRMED",SCHEMA; QUERY PLAN; LOAD,QUERY-001–007; OBS-006,NOT AUDITED,
DB-013,Database,"Use stable deterministic pagination with complete ordering and tie-breakers. Protect cursor integrity and authorization context; test concurrent inserts, updates, and deletion.",MUST,P1,STATIC EVIDENCE PRESENT,"Admin/Moderation/Audit/Notices, Part 1 line 39: GET /admin/actions/log list_admin_action_log_route audit log admin_user_id, action_type, cursor only AdminActionLogListRead active admin readable policy cursor context list_admin_action_log cursor, fixed service limit admin_action_routes.py:62 CONFIRMED | Games and Participation, Part 1 line 193: Admin game create /games creates a game through create_game_workflow; service normalizes official invariants, validates venue/user refs, validates lifecycle/business rules, inserts, commits, and rolls back on integrity errors. backend/routes/game_routes.py:62-68; backend/services/game_service.py:...",CODE; SCHEMA; RUNTIME,QUERY-008–009; AUTHZ-015,NOT AUDITED,
DB-014,Database,"Use parameterized SQL and allowlist dynamic identifiers, sort columns, operators, and table/column names. Restrict unsafe raw SQL and prevent secret/query data leakage in logs.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Database Foundation and Migrations, Part 2 line 88: CONFIRMED: raw SQL in migrations is schema-level only: CREATE/DROP EXTENSION and CREATE/DROP SEQUENCE. | Database Foundation and Migrations, Part 1 line 10: Static limits No tests, checker, migrations, app imports, DB connections, SQL execution against a DB, builds, servers, containers, or external services were used. Applied DB state is not repository-verifiable. CONFIRMED / NOT REPOSITORY-VERIFIABLE",CODE; STATIC ANALYSIS; RUNTIME,DBSEC-001–002; API-033,NOT AUDITED,
DB-015,Database,"Use separate least-privilege application, migration, read-only/reporting, worker, and backup roles where justified. The application must not run as owner or superuser; secure schema ownership, search_path, default privileges, and direct human access.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Games and Participation, Part 1 line 187: Booking direct read Uses get_current_app_user, not route-level active-account dependency. Service checks booking buyer ownership for direct read. backend/routes/booking_routes.py:40-46 CONFIRMED | Platform and Operational Foundation, Part 1 line 27: Backup/recovery Static search only No platform backup/restore implementation found in Part 1 scan; detailed Part 2 NOT FOUND IN SUBSYSTEM",DB CONFIG; PROVIDER; ACCESS REVIEW,DBSEC-003–009; SECRET-007–010,NOT AUDITED,
DB-016,Database,"Maintain a single understood Alembic migration graph, review autogenerated migrations manually, verify model/schema drift, and manage extensions explicitly.",MUST,P1,STATIC EVIDENCE PRESENT,"Games and Participation, Part 1 line 90: Schema history Alembic migrations mirror the games/participation tables and constraints. backend/migrations/versions/0013_create_games_table.py:14-123 and related migrations CONFIRMED | Platform and Operational Foundation, Part 1 line 209: Alembic online pool engine_from_config(..., poolclass=pool.NullPool) Migration connections use NullPool Online migrations connect and run in transaction Runtime DB/migration failure not statically resolved backend/alembic/env.py:36-48 CONFIRMED",REPO; MIGRATION; SCHEMA,"MIG-001–002, 011, 013–014",NOT AUDITED,
DB-017,Database,"Use expand-and-contract, backward-compatible migrations for rolling deployments. Avoid unbounded table rewrites and blocking DDL; add constraints/indexes and remove old columns only after compatibility windows.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Database Foundation and Migrations, Part 2 line 100: CONFIRMED: table migrations downgrade via op.drop_table('<table>'). | Database Foundation and Migrations, Part 2 line 81: CONFIRMED: migrations use op.create_table and op.create_index for table/index creation.",MIGRATION REHEARSAL; RUNTIME,"MIG-003–006, 012; DEPLOY-008–009",NOT AUDITED,
DB-018,Database,"Make large data migrations resumable, batched, observable, and independently recoverable where one Alembic transaction is unsafe. Test upgrade from empty and production-like schemas, interruption, old/new compatibility, and rollback or forward-fix plans.",MUST,P0,NOT YET MAPPED,"Need a Sub and Messaging, Part 1 line 146: sub_post_status_history Post status history old/new/source/reason post cascade, user set null none status/source checks; post-created index old/new post status created_at sub_post_status_history_model.py:11-57 0018...py:14-32 CONFIRMED | Need a Sub and Messaging, Part 1 line 147: sub_post_request_status_history Request status history old/new/source/reason request cascade, user set null none status/source checks; request-created index old/new request status created_at sub_post_request_status_history_model.py:11-66 0036...py:14-32 CONFIRMED",CI; MIGRATION REHEARSAL; RESTORE,MIG-007–010; TEST-016,NOT AUDITED,
PAY-001,Payments,"Derive amount and currency from trusted server-side booking, pricing, and credit data. Bind every checkout to an authenticated user and durable local operation identity.",MUST,P0,STATIC EVIDENCE PRESENT,"Payments and Financial Workflows line 134: Credit-only checkout checkout start final Stripe due 0 confirm_credit_covered_checkout none booking paid, participants confirmed, credit redeemed local transaction no PI created checkout_service.py:692-715,425-470 CONFIRMED | Phase 1A general repository inventory line 200: User identity/contact/profile/status data CONFIRMED backend/models/user_model.py:23",CODE; SCHEMA; RUNTIME,STRIPE-001–002,NOT AUDITED,
PAY-002,Payments,"Use stable Stripe idempotency keys plus local uniqueness and operation-state controls for PaymentIntent, refund, and other financial mutations. Same-key payload changes must conflict.",MUST,P0,STATIC EVIDENCE PRESENT,"Payments and Financial Workflows line 178: Refund webhook sync Stripe refund events provider refund id or metadata recovery signature none Refund, RefundEvent, payment/booking/fee, issues provider event id uniqueness local refund state synced stripe_webhook_service.py:1521-1853 CONFIRMED | Payments and Financial Workflows line 177: Host publish fee refund outcome admin financial outcome paid host publish fee with succeeded payment RAA Refund.create AdminFinancialOutcome, Refund, RefundEvent, HostPublishFee, issues admin idempotency plus Stripe refund idempotency refund outcome applied/pending/failed admin_financial_outcome_...",CODE; SCHEMA; RUNTIME,STRIPE-003–004; FIN-003–005,NOT AUDITED,
PAY-003,Payments,"Expose PaymentIntent client secrets only to the authorized checkout user and never through URLs, logs, analytics, support artifacts, or cross-user responses. Keep publishable, secret, restricted, and webhook keys separated.",MUST,P0,MIXED / PARTIAL STATIC EVIDENCE,"Payments and Financial Workflows line 20: Schemas Payment, checkout, user payment method, refund, game credit, host publish fee/entitlement, community publish, admin money schemas CONFIRMED | Phase 1A general repository inventory line 207: Analytics tracking implementation NOT FOUND IN REPOSITORY Firebase measurement env exists, but no client usage found",CODE; RUNTIME; LOG/BUNDLE SCAN,STRIPE-005–006; FESEC-002; SECRET-001–006,NOT AUDITED,
PAY-004,Payments,Treat PaymentIntent as provider payment-lifecycle authority and PostgreSQL as application-business authority. Client callbacks and return URLs must not create paid entitlements by themselves.,MUST,P0,STATIC EVIDENCE PRESENT,"Payments and Financial Workflows line 148: Paid attempt publish route no entitlement, saved PM required CommunityPublishAttempt, Payment PaymentIntent create/confirm none game not visible yet community_game_publish_service.py:627-856 CONFIRMED | Database Foundation and Migrations, Part 1 line 169: payments metadata JSONB Provider/payment context Services construct metadata no JSON index found payment_model.py:137-139; checkout_service.py:723-740 CONFIRMED",CODE; RUNTIME,STRIPE-007–012; FIN-001–002,NOT AUDITED,
PAY-005,Payments,"Verify Stripe webhook signatures against the unmodified body with the correct environment and endpoint secret. Acknowledge promptly, record event IDs, and process durably.",MUST,P0,STATIC EVIDENCE PRESENT,"Payments and Financial Workflows line 72: POST /stripe/webhook handle_stripe_webhook Stripe webhook raw body, Stripe-Signature header dict status Stripe signature no user dependency signature verification provider event id record_and_process_stripe_webhook_event stripe_webhook_routes.py:13-39 CONFIRMED | Payments and Financial Workflows line 111: Webhook POST /stripe/webhook Stripe signature, not user bearer none none provider event payload signature construct + event ID dedupe stripe_webhook_routes.py:13-39; stripe_webhook_service.py:111-181 CONFIRMED",CODE; CONFIG; RUNTIME; PROVIDER,STRIPE-013–017,NOT AUDITED,
PAY-006,Payments,"Handle duplicate, delayed, missing, and out-of-order webhook events. Preserve event processing state, retrieve current provider state when needed, and never regress terminal local state from stale events.",MUST,P0,STATIC EVIDENCE PRESENT,"Phase 1A general repository inventory line 121: Handled webhook events include payment intent and refund events CONFIRMED backend/services/stripe_webhook_service.py:80-92 | Phase 1A general repository inventory line 120: Webhook events persisted with duplicate handling CONFIRMED backend/services/stripe_webhook_service.py:111-181, backend/models/payment_event_model.py:22-91",CODE; SCHEMA; FAILURE TEST,STRIPE-014–019; FIN-001–008,NOT AUDITED,
PAY-007,Payments,"Model booking and payment as an explicit state machine covering pending, action-required, processing, succeeded, failed, canceled, unknown, refunded, and capacity-conflict outcomes. Define reservation and compensation policy.",MUST DECIDE,P0,STATIC EVIDENCE PRESENT,"Payments and Financial Workflows line 226: Payment requires_payment_method, processing, requires_action, succeeded, failed, canceled checkout, community publish, admin payment service, webhook PI succeeded/processing/failed/canceled PaymentEvent; booking status history for booking payment changes payment_rules.py:3-27; payment_model.py:39... | Payments and Financial Workflows line 139: Failed/cancelled webhook PI failed/canceled valid PI apply_payment_intent_failed_or_canceled none payment failed/canceled, booking failed/expired, credits released locks financial rows hold released stripe_webhook_service.py:1333-1507 CONFIRMED",CODE; SCHEMA; RUNTIME,FIN-001–012,NOT AUDITED,
PAY-008,Payments,"Store only necessary saved-payment metadata and provider identifiers. Enforce Stripe Customer and PaymentMethod ownership, consent, attach/detach behavior, stale metadata refresh, and cross-user isolation.",MUST,P0,STATIC EVIDENCE PRESENT,"Payments and Financial Workflows line 104: Default/detach card PATCH/DELETE payment method routes FastAPI Depends(RAU) active user ownership helper Stripe customer consistency Stripe modify/detach, local default updates payment_method_service.py:396-536 CONFIRMED | Payments and Financial Workflows line 103: SetupIntent POST /user-payment-methods/setup-intent FastAPI Depends(RAU) active user user Stripe customer none beyond user creates/reuses customer payment_method_service.py:49-124 CONFIRMED",CODE; SCHEMA; RUNTIME,STRIPE-020–024,NOT AUDITED,
PAY-009,Payments,"Represent refunds as durable operations with amount/currency validation, remaining refundable amount, idempotency, provider/local states, unknown outcome handling, user notice, and reconciliation.",MUST,P0,STATIC EVIDENCE PRESENT,"Database Foundation and Migrations, Part 1 line 135: refunds/refund_events provider/idempotency partial uniques provider+refund/event IDs; idempotency_key yes not null Provider reconciliation/event idempotency. refund_model.py:110-116, refund_event_model.py:58-70 CONFIRMED | Admin/Moderation/Audit/Notices, Part 1 line 132: Financial outcome notice refund/credit outcome host user game/user/financial outcome metadata target notice read/dismiss fields only notice id appended to admin action metadata admin_financial_outcome_service.py:894, 922 CONFIRMED",CODE; SCHEMA; RUNTIME; PROVIDER,FIN-009–016,NOT AUDITED,
